item_id,order_id,product_id,quantity,unit_price,discount,line_total,promo_applied,fulfillment_center_id,picking_status_code
ITEM-82ad57f5-5fb7-4722-94b6-dd13fb4249bd,ORD-183e06f6-a49f-4910-9604-fcf19a14fa76,PROD-64b28a9a-33d5-47f7-a920-3dc095efb280,6,242.03,217.83,1234.35,True,FC-02,PICK_COMPLETE
ITEM-aef45456-8dfe-4d59-8d8e-53fce269735b,ORD-183e06f6-a49f-4910-9604-fcf19a14fa76,PROD-ec4c2c7a-9e03-4864-95f4-82ed02c06c2e,3,128.94,0.0,386.82,False,FC-56,PICK_PENDING
ITEM-e3a46ae7-f8b1-40d7-92d8-ed4dd3e85029,ORD-04f71ce8-2e8e-4943-82b7-aec216f57126,PROD-d42c4ef6-cb69-4bd1-8ab5-31060731a597,3,156.52,0.0,469.56,False,FC-74,PICK_PENDING
ITEM-913b1b0b-4742-4707-841b-c49cd3727e6f,ORD-04f71ce8-2e8e-4943-82b7-aec216f57126,PROD-a24a9a1e-2383-464a-ae45-55dfffb91ab1,3,17.83,5.35,48.14,True,FC-17,PICK_COMPLETE
ITEM-ce6df8e3-c2dd-4d47-9b82-1c12f7669a7a,ORD-04f71ce8-2e8e-4943-82b7-aec216f57126,PROD-6293f262-d471-40b7-b20e-18c324826373,4,572.85,229.14,2062.26,True,FC-16,PICK_COMPLETE
ITEM-62185ad9-e55e-42f3-a9fc-b3f594af1bc8,ORD-04f71ce8-2e8e-4943-82b7-aec216f57126,PROD-15fbe246-8ed9-4468-a367-0f53ff32578e,7,48.78,0.0,341.46,False,FC-87,PICK_COMPLETE
ITEM-19d603f7-5b5a-4c4d-885b-c450c5e12355,ORD-25ac60d5-53db-4f89-a0b6-5e672543541e,PROD-31421db3-cfa1-4960-8842-c76ea71bd394,2,39.27,0.0,78.54,False,FC-92,PICK_PENDING
ITEM-23376c4d-f662-41d6-aff3-73fbf199a526,ORD-25ac60d5-53db-4f89-a0b6-5e672543541e,PROD-5d58e17d-f4a1-4ff0-b694-1d0f6b0605af,2,53.39,0.0,106.78,False,FC-69,PICK_PENDING
ITEM-2955693a-9fcf-4805-86f6-b72b701d9d39,ORD-9e0c3522-5832-494f-af1c-94e82168fb13,PROD-c2ac1801-927b-41ae-9809-f137e7e749b7,2,896.44,268.93,1523.95,True,FC-78,PICK_FAILED
ITEM-0ac5ba77-7674-4c40-a592-0df4ed0c0823,ORD-9e0c3522-5832-494f-af1c-94e82168fb13,PROD-22bb9909-8abb-4af6-aff5-8a5997dbb14c,5,82.31,0.0,411.55,False,FC-60,PICK_FAILED
